Features;IO-N-10;IO-N-20;IO-N-30;IO-N-40;IO-N-50;IO-N-60;IO-N-70;IO-N-80;IO-N-90;IO-N-100;IO-N-200;IO-N-300;IO-N-400;IO-N-500;IO-N-600;IO-N-700;IO-N-800;IO-N-900;IO-N-1000;IO-N-2000;IO-S1-10;IO-S1-20;IO-S1-30;IO-S1-40;IO-S1-50;IO-S1-60;IO-S1-70;IO-S1-80;IO-S1-90;IO-S1-100;IO-S1-200;IO-S1-300;IO-S1-400;IO-S1-500;IO-S1-600;IO-S1-700;IO-S1-800;IO-S1-1000;IO-S1-2000;IO-S2-10;IO-S2-20;IO-S2-30;IO-S2-40;IO-S2-50;IO-S2-60;IO-S2-70;IO-S2-80;IO-S2-90;IO-S2-100;IO-S2-200;IO-S2-300;IO-S2-400;IO-S2-500;IO-S2-600;IO-S2-700;IO-S2-800;IO-S2-900;IO-S2-1000;IO-S2-2000;IO-S3-10;IO-S3-20;IO-S3-30;IO-S3-40;IO-S3-50;IO-S3-60;IO-S3-70;IO-S3-80;IO-S3-90;IO-S3-100;IO-S3-200;IO-S3-300;IO-S3-400;IO-S3-500;IO-S3-600;IO-S3-700;IO-S3-800;IO-S3-900;IO-S3-1000;IO-S3-2000
simSeconds;4,122314;7,867538;11,612762;15,357986;19,10321;22,848434;26,703837;30,449061;34,194285;37,939509;75,612107;113,174526;150,847124;188,409543;226,082141;263,64456;301,317158;338,989756;376,552175;727,203558;4,123013;7,868238;11,61346;15,358685;19,103908;22,849134;26,704536;30,449758;34,194983;37,940208;75,612804;113,175224;150,847822;188,41024;226,082838;263,645257;301,317855;376,552873;752,838842;4,129308;7,881523;11,633737;15,385951;19,138166;22,890376;26,752768;30,504972;34,257181;38,009397;75,751798;113,38386;151,126136;188,758233;226,500515;264,132596;301,874865;339,617129;377,249218;754,231204;4,830448;8,575672;12,320896;16,06612;19,811344;23,556568;27,411971;31,157195;34,902419;38,647643;76,320241;113,88266;151,555258;189,117677;226,790275;264,352694;302,025292;339,697891;377,26031;752,908939
simTicks;4,12231E+12;7,86754E+12;1,16128E+13;1,5358E+13;1,91032E+13;2,28484E+13;2,67038E+13;3,04491E+13;3,41943E+13;3,79395E+13;7,56121E+13;1,13175E+14;1,50847E+14;1,8841E+14;2,26082E+14;2,63645E+14;3,01317E+14;3,3899E+14;3,76552E+14;7,27204E+14;4,12301E+12;7,86824E+12;1,16135E+13;1,53587E+13;1,91039E+13;2,28491E+13;2,67045E+13;3,04498E+13;3,4195E+13;3,79402E+13;7,56128E+13;1,13175E+14;1,50848E+14;1,8841E+14;2,26083E+14;2,63645E+14;3,01318E+14;3,76553E+14;7,52839E+14;4,12931E+12;7,88152E+12;1,16337E+13;1,5386E+13;1,91382E+13;2,28904E+13;2,67528E+13;3,0505E+13;3,42572E+13;3,80094E+13;7,57518E+13;1,13384E+14;1,51126E+14;1,88758E+14;2,26501E+14;2,64133E+14;3,01875E+14;3,39617E+14;3,77249E+14;7,54231E+14;4,83045E+12;8,57567E+12;1,23209E+13;1,60661E+13;1,98113E+13;2,35566E+13;2,7412E+13;3,11572E+13;3,49024E+13;3,86476E+13;7,63202E+13;1,13883E+14;1,51555E+14;1,89118E+14;2,2679E+14;2,64353E+14;3,02025E+14;3,39698E+14;3,7726E+14;7,52909E+14
finalTick;4,12231E+12;7,86754E+12;1,16128E+13;1,5358E+13;1,91032E+13;2,28484E+13;2,67038E+13;3,04491E+13;3,41943E+13;3,79395E+13;7,56121E+13;1,13175E+14;1,50847E+14;1,8841E+14;2,26082E+14;2,63645E+14;3,01317E+14;3,3899E+14;3,76552E+14;7,27204E+14;4,12301E+12;7,86824E+12;1,16135E+13;1,53587E+13;1,91039E+13;2,28491E+13;2,67045E+13;3,04498E+13;3,4195E+13;3,79402E+13;7,56128E+13;1,13175E+14;1,50848E+14;1,8841E+14;2,26083E+14;2,63645E+14;3,01318E+14;3,76553E+14;7,52839E+14;4,12931E+12;7,88152E+12;1,16337E+13;1,5386E+13;1,91382E+13;2,28904E+13;2,67528E+13;3,0505E+13;3,42572E+13;3,80094E+13;7,57518E+13;1,13384E+14;1,51126E+14;1,88758E+14;2,26501E+14;2,64133E+14;3,01875E+14;3,39617E+14;3,77249E+14;7,54231E+14;4,83045E+12;8,57567E+12;1,23209E+13;1,60661E+13;1,98113E+13;2,35566E+13;2,7412E+13;3,11572E+13;3,49024E+13;3,86476E+13;7,63202E+13;1,13883E+14;1,51555E+14;1,89118E+14;2,2679E+14;2,64353E+14;3,02025E+14;3,39698E+14;3,7726E+14;7,52909E+14
simFreq;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12
hostSeconds;1482,54;2872,99;4159,43;5504,3;7005,27;8182,37;9559,51;10933,74;12280,83;13881,37;28057,33;40632,53;54035,55;67814,4;81582,38;94656,34;108605,78;121901,29;135252,8;260749,76;1505,73;2845,18;4313,23;5666,23;6844,71;8190,14;9587,04;10935,98;12282,72;13658,58;27169,45;40562,79;54219,83;67462,54;81282,27;94962,46;108036,54;135663,94;272495,52;1480,91;2828,64;4177,7;5526,59;6868,69;8229,31;9621;10978,41;12298,67;13801,65;27554,02;40855,58;54182,22;67634,92;81160,63;94913,97;108393,08;122021,2;135360,84;271135,06;2157,8;3449,51;4855,71;6359,15;7592,32;8912,18;10300,48;11654,34;13028,38;14454,67;28265,38;41516,11;55262,11;69073,36;82889,67;96388,8;109542,93;122418,62;135830,44;270864,11
hostTickRate;2780580183;2738445134;2791911243;2790177433;2726977402;2792397676;2793430284;2784872081;2784363439;2733123875;2694914099;2785318520;2791627629;2778311566;2771212828;2785281435;2774411765;2780854489;2784061934;2788894491;2738212609;2765461689;2692523169;2710567356;2791045933;2789835528;2785484322;2784365686;2783991993;2777756448;2783008342;2790123915;2782152371;2792812619;2781453230;2776310395;2789036575;2775629861;2762756768;2788366112;2786330706;2784725424;2783986922;2786290095;2781566290;2780662908;2778633886;2785438304;2753975441;2749209949;2775235693;2789220275;2790840037;2790768386;2782863137;2785001180;2783263354;2786989331;2781754646;2238597659;2486054288;2537406034;2526457784;2609393637;2643188328;2661231906;2673441909;2678952909;2673713877;2700131079;2743095964;2742480391;2737924876;2736049794;2742566398;2757141000;2774887435;2777435603;2779655616
hostMemory;688784;688780;688784;688784;688784;688780;688784;688784;688784;688784;688780;688784;688784;688784;688780;688780;688780;688784;688780;688780;688788;688792;688792;688788;688792;688788;688788;688792;688788;688792;688788;688792;688792;688792;688792;688788;688788;688788;689812;688792;688792;688792;688792;688792;688788;688788;688788;688792;688788;688792;688788;688792;688792;688788;688788;688788;688788;688788;689812;688788;688792;688792;688792;688788;688792;688788;688788;688788;688792;688788;688788;688792;688788;688788;688788;688788;688792;688792;681476
simInsts;4202216481;8028410088;11854603773;15680797423;19506991004;23333184676;27269262692;31095456360;34921650028;38747843697;77229549164;1,15601E+11;1,54083E+11;1,92455E+11;2,30937E+11;2,69308E+11;3,0779E+11;3,46272E+11;3,84644E+11;7,41667E+11;4202834517;8029029233;11855220878;15681415903;19507608819;23333804218;27269880862;31096073242;34922267443;38748461776;77230165524;1,15602E+11;1,54084E+11;1,92456E+11;2,30937E+11;2,69309E+11;3,07791E+11;3,84644E+11;7,69023E+11;4208402553;8040778921;11873154475;15705530652;19537907231;23370278555;27312538148;31144904435;34977275507;38809653351;77353087618;1,15786E+11;1,5433E+11;1,92763E+11;2,31307E+11;2,6974E+11;3,08283E+11;3,46827E+11;3,8526E+11;7,70254E+11;4828784748;8654978355;12481172040;16307365690;20133559271;23959752943;27895830959;31722024627;35548218295;39374411964;77856117431;1,16228E+11;1,5471E+11;1,93081E+11;2,31563E+11;2,69935E+11;3,08417E+11;3,46898E+11;3,8527E+11;7,69085E+11
simOps;6002369992;11399072894;16795775957;22192478948;27589181799;32985884838;38547606338;43944309364;49341012390;54737715408;1,09035E+11;1,63167E+11;2,17464E+11;2,71596E+11;3,25893E+11;3,80025E+11;4,34322E+11;4,88619E+11;5,42751E+11;1,04779E+12;6003549025;11400253900;16796953331;22193658769;27590360435;32987066561;38548785605;43945486347;49342190318;54738894524;1,09036E+11;1,63168E+11;2,17465E+11;2,71597E+11;3,25894E+11;3,80026E+11;4,34323E+11;5,42752E+11;1,08506E+12;6014170406;11422667866;16831163880;22239661008;27648158829;33056647330;38630161279;44038640804;49447128870;54855628968;1,0927E+11;1,6352E+11;2,17935E+11;2,72184E+11;3,26599E+11;3,80849E+11;4,35263E+11;4,89678E+11;5,43927E+11;1,08741E+12;7196590670;12593293572;17989996635;23386699626;28783402477;34180105516;39741827016;45138530042;50535233068;55931936086;1,10229E+11;1,64361E+11;2,18658E+11;2,7279E+11;3,27087E+11;3,81219E+11;4,35516E+11;4,89813E+11;5,43945E+11;1,08518E+12
hostInstRate;2834476;2794440;2850054;2848825;2784617;2851641;2852578;2843991;2843591;2791355;2752562;2845045;2851513;2837965;2830717;2845117;2834012;2840592;2843887;2844363;2791224;2821975;2748574;2767524;2850026;2849013;2844454;2843466;2843204;2836932;2842537;2849951;2841833;2852776;2841176;2835953;2848950;2835273;2822147;2841775;2842632;2842034;2841813;2844488;2839883;2838845;2836924;2843989;2811958;2807324;2834044;2848348;2850055;2849985;2841942;2844124;2842348;2846171;2840849;2237827;2509045;2570414;2564394;2651833;2688428;2708206;2721907;2728522;2723993;2754469;2799587;2799561;2795310;2793631;2800481;2815487;2833706;2836406;2839374
hostOpRate;4048714;3967663;4037998;4031841;3938347;4031336;4032381;4019148;4017727;3943250;3886142;4015670;4024460;4004989;3994649;4014787;3999070;4008318;4012865;4018371;3987131;4006865;3894290;3916833;4030901;4027658;4020929;4018433;4017205;4007656;4013183;4022603;4010804;4025895;4009413;4001858;4020152;4000713;3981953;4061142;4038221;4028815;4024121;4025244;4016940;4015190;4011387;4020527;3974571;3965681;4002392;4022255;4024317;4024106;4012566;4015600;4013056;4018352;4010598;3335150;3650747;3704919;3677646;3791122;3835213;3858249;3873110;3878857;3869473;3899788;3958971;3956746;3949282;3946055;3955016;3975760;4001135;4004592;4006372
system.clk_domain.clock;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
