Features;OoO-N-10;OoO-N-20;OoO-N-30;OoO-N-40;OoO-N-50;OoO-N-60;OoO-N-70;OoO-N-80;OoO-N-90;OoO-N-100;OoO-N-200;OoO-N-300;OoO-S1-10;OoO-S1-20;OoO-S1-30;OoO-S1-40;OoO-S1-50;OoO-S1-60;OoO-S1-70;OoO-S1-80;OoO-S1-90;OoO-S1-100;OoO-S1-200;OoO-S2-10;OoO-S2-20;OoO-S2-30;OoO-S2-40;OoO-S2-50;OoO-S2-60;OoO-S2-70;OoO-S2-80;OoO-S2-90;OoO-S2-100;OoO-S2-200;OoO-S2-300;OoO-S3-10;OoO-S3-20;OoO-S3-30;OoO-S3-40;OoO-S3-50;OoO-S3-60;OoO-S3-70;OoO-S3-80;OoO-S3-90;OoO-S3-100;OoO-S3-200;OoO-S3-300
simSeconds;4,193133;7,938357;11,683581;15,428805;19,174029;22,919253;26,774656;30,51988;34,265104;38,010328;75,682926;113,245345;4,123012;7,868238;11,613459;15,358685;19,103908;22,849134;26,704535;30,449758;34,194983;37,940207;75,612804;4,129308;7,881523;11,633736;15,385951;19,138166;22,890375;26,752768;30,504972;34,257181;38,009397;75,751798;113,88266;4,830448;8,575672;12,320896;16,06612;19,811344;23,556568;27,411971;12,320896;34,902419;38,647643;76,320241;113,88266
simTicks;4,19313E+12;7,93836E+12;1,16836E+13;1,54288E+13;1,9174E+13;2,29193E+13;2,67747E+13;3,05199E+13;3,42651E+13;3,80103E+13;7,56829E+13;1,13245E+14;4,12301E+12;7,86824E+12;1,16135E+13;1,53587E+13;1,91039E+13;2,28491E+13;2,67045E+13;3,04498E+13;3,4195E+13;3,79402E+13;7,56128E+13;4,12931E+12;7,88152E+12;1,16337E+13;1,5386E+13;1,91382E+13;2,28904E+13;2,67528E+13;3,0505E+13;3,42572E+13;3,80094E+13;7,57518E+13;1,13883E+14;4,83045E+12;8,57567E+12;1,23209E+13;1,60661E+13;1,98113E+13;2,35566E+13;2,7412E+13;1,23209E+13;3,49024E+13;3,86476E+13;7,63202E+13;1,13883E+14
finalTick;4,19313E+12;7,93836E+12;1,16836E+13;1,54288E+13;1,9174E+13;2,29193E+13;2,67747E+13;3,05199E+13;3,42651E+13;3,80103E+13;7,56829E+13;1,13245E+14;4,12301E+12;7,86824E+12;1,16135E+13;1,53587E+13;1,91039E+13;2,28491E+13;2,67045E+13;3,04498E+13;3,4195E+13;3,79402E+13;7,56128E+13;4,12931E+12;7,88152E+12;1,16337E+13;1,5386E+13;1,91382E+13;2,28904E+13;2,67528E+13;3,0505E+13;3,42572E+13;3,80094E+13;7,57518E+13;1,13883E+14;4,83045E+12;8,57567E+12;1,23209E+13;1,60661E+13;1,98113E+13;2,35566E+13;2,7412E+13;1,23209E+13;3,49024E+13;3,86476E+13;7,63202E+13;1,13883E+14
simFreq;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12;1E+12
hostSeconds;1586,63;3072,34;4520,9;5959,57;7407,27;8863,38;10361,48;11785,02;13262,29;14700,43;29240,37;43549,95;1557,89;2979,57;4419,08;5855,19;7255,1;8669,81;10177,95;11571,75;13031,56;14423,77;28425,27;1572,89;2940,97;4418,46;5877,38;7286,78;8711,24;10174,64;11633,1;12948,24;14449,03;28807,45;43500,24;2257;3678,59;5029,56;6456,58;7890,67;9279,97;10819,3;5109,36;13223,63;15068,14;28678,45;43571,64
hostTickRate;2642794137;2583813971;2584348300;2588911163;2588541522;2585837642;2584055986;2589719166;2583649846;2585660171;2588302904;2600355086;2646544682;2640725895;2628024365;2623090657;2633169433;2635483358;2623763427;2631387068;2624012247;2630393966;2660056215;2625293703;2679908061;2632986382;2617823959;2626421867;2627681650;2629357884;2622256574;2645702485;2630584545;2629590469;2617977907;2140208226;2331236834;2449694894;2488331397;2510731208;2538431333;2533617759;2411435561;2639397768;2564858719;2661240134;2613687862
hostMemory;689044;689044;689048;689048;689044;689044;689044;689044;689048;689044;689044;689044;689048;689048;689048;689048;689044;689048;689048;689048;689048;689048;689048;689044;689048;689048;689048;689044;689048;689048;689044;689048;689048;689048;689048;689048;689048;689044;689048;689048;689048;689044;689048;689044;689048;689048;689044
simInsts;4264879104;8091072711;11917266396;15743460046;19569653627;23395847299;27331925315;31158118983;34984312651;38810506320;77292211787;1,15664E+11;4202834189;8029028905;11855220550;15681415575;19507608491;23333803890;27269880534;31096072914;34922267115;38748461448;77230165196;4208402225;8040778593;11873154147;15705530324;19537906903;23370278227;27312537820;31144904107;34977275179;38809653039;77353087290;1,16228E+11;4828784420;8654978027;12481171712;16307365362;20133558943;23959752615;27895830631;12481171712;35548217967;39374411636;77856117103;1,16228E+11
simOps;6121801970;11518504872;16915207935;22311910926;27708613777;33105316816;38667038316;44063741342;49460444368;54857147386;1,09154E+11;1,63286E+11;6003548393;11400253268;16796952699;22193658137;27590359803;32987065929;38548784973;43945485715;49342189686;54738893892;1,09036E+11;6014169774;11422667234;16831163248;22239660376;27648158197;33056646698;38630160647;44038640172;49447128238;54855628365;1,0927E+11;1,64361E+11;7196590038;12593292940;17989996003;23386698994;28783401845;34180104884;39741826384;17989996003;50535232436;55931935454;1,10229E+11;1,64361E+11
hostInstRate;2688013;2633520;2636038;2641709;2641952;2639609;2637839;2643876;2637879;2640092;2643339;2655893;2697782;2694690;2682733;2678209;2688813;2691387;2679309;2687240;2679822;2686430;2716955;2675579;2734059;2687172;2672198;2681280;2682772;2684374;2677266;2701316;2685969;2685176;2671892;2139471;2352796;2481562;2525696;2551566;2581878;2578340;2442805;2688235;2613091;2714795;2667514
