feature_index,feature_name,gem5_component,feature_category,unit,description,included_in_raw_399,included_in_selected_file,selected_feature_file_count,spectre_relevance,raw_documentation_source,observed_in_raw_stats_files
1,simSeconds,Simulator,Simulation and host performance,Second,Number of seconds simulated,yes,yes,127,"Contextual: useful for normalization, run validation, and detecting simulation-scale differences.",Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
2,simTicks,Simulator,Simulation and host performance,Tick,Number of ticks simulated,yes,yes,127,"Contextual: useful for normalization, run validation, and detecting simulation-scale differences.",Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
3,finalTick,Simulator,Simulation and host performance,Tick,Number of ticks from beginning of simulation (restored from checkpoints and never reset),yes,yes,127,"Contextual: useful for normalization, run validation, and detecting simulation-scale differences.",Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
4,simFreq,Simulator,Simulation and host performance,,The number of ticks per simulated second ((Tick/Second)),yes,yes,127,"Contextual: useful for normalization, run validation, and detecting simulation-scale differences.",Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
5,hostSeconds,Simulator,Simulation and host performance,Second,Real time elapsed on the host,yes,yes,127,"Contextual: useful for normalization, run validation, and detecting simulation-scale differences.",Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
6,hostTickRate,Simulator,Simulation and host performance,,The number of ticks simulated per host second (ticks/s) ((Tick/Second)),yes,yes,127,"Contextual: useful for normalization, run validation, and detecting simulation-scale differences.",Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
7,hostMemory,Simulator,Simulation and host performance,Byte,Number of bytes of host memory used,yes,yes,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
8,simInsts,Simulator,Simulation and host performance,Count,Number of instructions simulated,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
9,simOps,Simulator,Simulation and host performance,Count,Number of ops (including micro ops) simulated,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
10,hostInstRate,Simulator,Simulation and host performance,,Simulator instruction rate (inst/s) ((Count/Second)),yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
11,hostOpRate,Simulator,Simulation and host performance,,Simulator op (including micro ops) rate (op/s) ((Count/Second)),yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
12,system.clk_domain.clock,system.clk_domain.clock,"Clock, voltage, and power state",Tick,Clock period in ticks,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
13,system.cpu.numCycles,system.cpu.numCycles,CPU execution and instruction mix,Cycle,Number of cpu cycles simulated,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
14,system.cpu.numWorkItemsStarted,system.cpu.numWorkItemsStarted,Other gem5 statistics,Count,Number of work items this cpu started,yes,no,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
15,system.cpu.numWorkItemsCompleted,system.cpu.numWorkItemsCompleted,Other gem5 statistics,Count,Number of work items this cpu completed,yes,no,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
16,system.cpu.exec_context.thread_0.numInsts,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of instructions committed,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
17,system.cpu.exec_context.thread_0.numOps,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of ops (including micro ops) committed,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
18,system.cpu.exec_context.thread_0.numIntAluAccesses,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of integer alu accesses,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
19,system.cpu.exec_context.thread_0.numFpAluAccesses,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of float alu accesses,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
20,system.cpu.exec_context.thread_0.numVecAluAccesses,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of vector alu accesses,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
21,system.cpu.exec_context.thread_0.numCallsReturns,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of times a function call or return occured,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
22,system.cpu.exec_context.thread_0.numCondCtrlInsts,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of instructions that are conditional controls,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
23,system.cpu.exec_context.thread_0.numIntInsts,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of integer instructions,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
24,system.cpu.exec_context.thread_0.numFpInsts,system.cpu.exec_context,CPU execution and instruction mix,Count,Number of float instructions,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
