selected_order,raw_feature_index,feature_name
1,1,simSeconds
2,2,simTicks
3,3,finalTick
4,4,simFreq
5,5,hostSeconds
6,6,hostTickRate
7,7,hostMemory
8,8,simInsts
9,9,simOps
10,10,hostInstRate
11,11,hostOpRate
12,12,system.clk_domain.clock
13,13,system.cpu.numCycles
14,16,system.cpu.exec_context.thread_0.numInsts
15,17,system.cpu.exec_context.thread_0.numOps
16,18,system.cpu.exec_context.thread_0.numIntAluAccesses
17,19,system.cpu.exec_context.thread_0.numFpAluAccesses
18,21,system.cpu.exec_context.thread_0.numCallsReturns
19,22,system.cpu.exec_context.thread_0.numCondCtrlInsts
20,23,system.cpu.exec_context.thread_0.numIntInsts
21,24,system.cpu.exec_context.thread_0.numFpInsts
22,26,system.cpu.exec_context.thread_0.numIntRegReads
23,27,system.cpu.exec_context.thread_0.numIntRegWrites
24,28,system.cpu.exec_context.thread_0.numFpRegReads
25,29,system.cpu.exec_context.thread_0.numFpRegWrites
26,34,system.cpu.exec_context.thread_0.numCCRegReads
27,35,system.cpu.exec_context.thread_0.numCCRegWrites
28,36,system.cpu.exec_context.thread_0.numMiscRegReads
29,37,system.cpu.exec_context.thread_0.numMiscRegWrites
30,38,system.cpu.exec_context.thread_0.numMemRefs
31,39,system.cpu.exec_context.thread_0.numLoadInsts
32,40,system.cpu.exec_context.thread_0.numStoreInsts
33,42,system.cpu.exec_context.thread_0.numBusyCycles
34,43,system.cpu.exec_context.thread_0.notIdleFraction
35,45,system.cpu.exec_context.thread_0.numBranches
36,46,system.cpu.exec_context.thread_0.statExecutedInstType::No_OpClass
37,47,system.cpu.exec_context.thread_0.statExecutedInstType::IntAlu
38,48,system.cpu.exec_context.thread_0.statExecutedInstType::IntMult
39,49,system.cpu.exec_context.thread_0.statExecutedInstType::IntDiv
40,50,system.cpu.exec_context.thread_0.statExecutedInstType::FloatAdd
41,52,system.cpu.exec_context.thread_0.statExecutedInstType::FloatCvt
42,58,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAdd
43,60,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAlu
44,61,system.cpu.exec_context.thread_0.statExecutedInstType::SimdCmp
45,62,system.cpu.exec_context.thread_0.statExecutedInstType::SimdCvt
46,63,system.cpu.exec_context.thread_0.statExecutedInstType::SimdMisc
47,66,system.cpu.exec_context.thread_0.statExecutedInstType::SimdShift
48,70,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatAdd
49,72,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatCmp
50,73,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatCvt
51,74,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatDiv
52,76,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMult
53,78,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatSqrt
54,93,system.cpu.exec_context.thread_0.statExecutedInstType::MemRead
55,94,system.cpu.exec_context.thread_0.statExecutedInstType::MemWrite
56,95,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMemRead
57,96,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMemWrite
58,99,system.cpu.exec_context.thread_0.statExecutedInstType::total
59,100,system.cpu.interrupts.clk_domain.clock
60,101,system.cpu.mmu.dtb.rdAccesses
61,102,system.cpu.mmu.dtb.wrAccesses
62,103,system.cpu.mmu.dtb.rdMisses
63,104,system.cpu.mmu.dtb.wrMisses
64,105,system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED
65,107,system.cpu.mmu.itb.wrAccesses
66,109,system.cpu.mmu.itb.wrMisses
67,110,system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED
68,111,system.cpu.power_state.pwrStateResidencyTicks::ON
69,115,system.cpu.workload.numSyscalls
70,116,system.cpu_clk_domain.clock
71,117,system.cpu_voltage_domain.voltage
72,251,system.mem_ctrls.dram.bytesRead::cpu.inst
73,252,system.mem_ctrls.dram.bytesRead::cpu.data
74,253,system.mem_ctrls.dram.bytesRead::total
75,254,system.mem_ctrls.dram.bytesInstRead::cpu.inst
76,255,system.mem_ctrls.dram.bytesInstRead::total
77,256,system.mem_ctrls.dram.bytesWritten::cpu.data
78,257,system.mem_ctrls.dram.bytesWritten::total
79,258,system.mem_ctrls.dram.numReads::cpu.inst
80,259,system.mem_ctrls.dram.numReads::cpu.data
81,260,system.mem_ctrls.dram.numReads::total
82,261,system.mem_ctrls.dram.numWrites::cpu.data
83,262,system.mem_ctrls.dram.numWrites::total
84,263,system.mem_ctrls.dram.bwRead::cpu.inst
85,264,system.mem_ctrls.dram.bwRead::cpu.data
86,265,system.mem_ctrls.dram.bwRead::total
87,266,system.mem_ctrls.dram.bwInstRead::cpu.inst
88,267,system.mem_ctrls.dram.bwInstRead::total
89,268,system.mem_ctrls.dram.bwWrite::cpu.data
90,269,system.mem_ctrls.dram.bwWrite::total
91,270,system.mem_ctrls.dram.bwTotal::cpu.inst
92,271,system.mem_ctrls.dram.bwTotal::cpu.data
93,272,system.mem_ctrls.dram.bwTotal::total
94,316,system.mem_ctrls.dram.peakBW
95,320,system.mem_ctrls.dram.power_state.pwrStateResidencyTicks::UNDEFINED
96,327,system.mem_ctrls.dram.rank0.preBackEnergy
97,331,system.mem_ctrls.dram.rank0.totalEnergy
98,332,system.mem_ctrls.dram.rank0.averagePower
99,334,system.mem_ctrls.dram.rank0.pwrStateTime::IDLE
100,346,system.mem_ctrls.dram.rank1.preBackEnergy
101,350,system.mem_ctrls.dram.rank1.totalEnergy
102,351,system.mem_ctrls.dram.rank1.averagePower
